epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7451,0.79549,3.6482,0.02248,0.03228,0.43492,0.51241,0.48258,0.4169,0.57651,1.34717,0.02413,0.02282,0.00013828,0.00013828,0.00013828
2,93.9945,0.79267,1.62672,0.02229,0.04064,0.74481,0.66108,0.74576,0.64115,0.59601,0.94637,0.02371,0.02565,0.000274535,0.000274535,0.000274535
3,139.563,0.81083,1.24019,0.02173,0.0416,0.73563,0.74193,0.82975,0.70421,0.63745,0.76149,0.02439,0.03498,0.000408037,0.000408037,0.000408037
4,184.655,0.81749,1.05527,0.02189,0.04741,0.83209,0.85605,0.90743,0.77817,0.60205,0.52378,0.02226,0.03534,0.000404615,0.000404615,0.000404615
5,230.262,0.77867,0.91998,0.02083,0.03987,0.85372,0.85939,0.91573,0.78828,0.59807,0.47079,0.02296,0.02707,0.000400487,0.000400487,0.000400487
6,275.54,0.77602,0.86164,0.02112,0.03968,0.8644,0.85408,0.92215,0.79245,0.60236,0.45668,0.02335,0.03588,0.000396358,0.000396358,0.000396358
7,321.155,0.76801,0.81958,0.02185,0.03721,0.86777,0.89375,0.94762,0.82641,0.56319,0.41307,0.02264,0.0302,0.00039223,0.00039223,0.00039223
8,366.074,0.74632,0.74572,0.0217,0.03423,0.92082,0.89441,0.95402,0.83037,0.55482,0.36664,0.02276,0.02314,0.000388102,0.000388102,0.000388102
9,410.952,0.75028,0.72143,0.0213,0.0345,0.90957,0.89264,0.94614,0.81438,0.59472,0.37767,0.02146,0.03504,0.000383974,0.000383974,0.000383974
10,455.947,0.74602,0.7113,0.01995,0.03445,0.88084,0.90975,0.96319,0.83743,0.55641,0.38534,0.02134,0.01877,0.000379845,0.000379845,0.000379845
11,501.074,0.72784,0.67962,0.02091,0.03146,0.91614,0.88874,0.961,0.8325,0.56819,0.34703,0.02131,0.02151,0.000375717,0.000375717,0.000375717
12,545.939,0.73005,0.66446,0.02015,0.03414,0.93481,0.91724,0.95945,0.83874,0.5508,0.33263,0.02056,0.02095,0.000371589,0.000371589,0.000371589
13,591.256,0.72255,0.62347,0.02021,0.03197,0.94389,0.92854,0.97682,0.85398,0.54958,0.30061,0.02142,0.02145,0.00036746,0.00036746,0.00036746
14,636.482,0.7273,0.6206,0.02014,0.03062,0.93104,0.92741,0.96828,0.85384,0.52455,0.31672,0.02049,0.02052,0.000363332,0.000363332,0.000363332
15,681.102,0.69836,0.59815,0.01939,0.02846,0.91552,0.92063,0.96844,0.84822,0.54903,0.313,0.02093,0.01894,0.000359204,0.000359204,0.000359204
16,726.157,0.6937,0.58225,0.01935,0.02727,0.91977,0.93051,0.96533,0.85034,0.53492,0.30621,0.02087,0.0152,0.000355076,0.000355076,0.000355076
17,771.479,0.69728,0.57462,0.01987,0.02487,0.92674,0.94246,0.97624,0.86202,0.52339,0.28756,0.02109,0.01662,0.000350947,0.000350947,0.000350947
18,816.659,0.67993,0.56043,0.01974,0.02519,0.93882,0.92768,0.97474,0.85219,0.5413,0.29805,0.01972,0.01506,0.000346819,0.000346819,0.000346819
19,861.679,0.67129,0.53949,0.01926,0.02421,0.94736,0.95207,0.98075,0.86464,0.52246,0.26261,0.02039,0.01478,0.000342691,0.000342691,0.000342691
20,906.758,0.68024,0.56187,0.01974,0.02367,0.95156,0.94548,0.9746,0.86064,0.51839,0.2791,0.02043,0.01423,0.000338562,0.000338562,0.000338562
21,952.125,0.66692,0.52314,0.0198,0.02472,0.92429,0.94381,0.97332,0.85758,0.53103,0.27845,0.02042,0.01551,0.000334434,0.000334434,0.000334434
22,996.579,0.6661,0.54215,0.02006,0.0248,0.95841,0.95321,0.98305,0.86979,0.50992,0.25033,0.02041,0.01486,0.000330306,0.000330306,0.000330306
23,1041.52,0.66572,0.52391,0.01982,0.02397,0.96262,0.95248,0.97971,0.87042,0.50976,0.24892,0.01959,0.01439,0.000326177,0.000326177,0.000326177
24,1086.57,0.66233,0.51102,0.01926,0.02388,0.94945,0.94218,0.9747,0.86033,0.51634,0.26531,0.01896,0.01654,0.000322049,0.000322049,0.000322049
25,1131.35,0.65684,0.49604,0.01919,0.02503,0.94877,0.95446,0.98047,0.86916,0.509,0.24252,0.01909,0.01562,0.000317921,0.000317921,0.000317921
26,1176.49,0.65,0.51176,0.01891,0.02197,0.96852,0.95471,0.98616,0.87559,0.50304,0.23464,0.01916,0.01527,0.000313792,0.000313792,0.000313792
