epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7121,0.79639,3.50698,0.02341,0.03464,0.31479,0.53218,0.41906,0.36314,0.57264,1.42904,0.02272,0.01902,0.00013828,0.00013828,0.00013828
2,79.2928,0.78412,1.65127,0.02188,0.04402,0.69525,0.68948,0.72441,0.63034,0.56751,0.84407,0.02213,0.02703,0.000274535,0.000274535,0.000274535
3,117.368,0.78946,1.1797,0.02175,0.04158,0.75313,0.79393,0.85164,0.72878,0.60156,0.6362,0.0227,0.02789,0.000408037,0.000408037,0.000408037
4,155.016,0.7855,1.0118,0.02126,0.04405,0.85035,0.80765,0.90975,0.7882,0.57574,0.53918,0.02155,0.02263,0.000404615,0.000404615,0.000404615
5,192.766,0.75713,0.88606,0.02049,0.03806,0.85329,0.86681,0.93198,0.81432,0.55034,0.46333,0.02069,0.02244,0.000400487,0.000400487,0.000400487
6,230.601,0.75812,0.85545,0.01996,0.03821,0.87539,0.8453,0.91381,0.79797,0.55537,0.47197,0.02077,0.02762,0.000396358,0.000396358,0.000396358
7,267.791,0.74526,0.78524,0.02063,0.03579,0.87317,0.85479,0.93258,0.82242,0.53393,0.44033,0.02052,0.02022,0.00039223,0.00039223,0.00039223
8,305.612,0.7255,0.7267,0.02065,0.03307,0.903,0.8981,0.95085,0.83142,0.5514,0.36922,0.02125,0.01763,0.000388102,0.000388102,0.000388102
9,344.21,0.73772,0.69739,0.02122,0.0332,0.93041,0.89773,0.96003,0.83786,0.55043,0.34401,0.02177,0.02165,0.000383974,0.000383974,0.000383974
10,382.14,0.73619,0.67596,0.02046,0.03279,0.92989,0.92561,0.9718,0.84888,0.54351,0.30982,0.02158,0.02298,0.000379845,0.000379845,0.000379845
11,420.133,0.72183,0.65285,0.02118,0.03149,0.89624,0.92449,0.95505,0.83746,0.53708,0.32874,0.02167,0.0201,0.000375717,0.000375717,0.000375717
12,457.359,0.71075,0.62954,0.02063,0.02932,0.93186,0.91916,0.96883,0.85207,0.52957,0.3053,0.02143,0.01777,0.000371589,0.000371589,0.000371589
13,495.05,0.70245,0.60995,0.0202,0.02924,0.93094,0.93497,0.97422,0.85706,0.53838,0.3039,0.02075,0.02097,0.00036746,0.00036746,0.00036746
14,532.816,0.71266,0.59978,0.02,0.02971,0.93501,0.92088,0.96069,0.84565,0.52155,0.31758,0.01999,0.01832,0.000363332,0.000363332,0.000363332
15,570.451,0.69052,0.58391,0.01957,0.02863,0.93325,0.91936,0.97274,0.85543,0.53512,0.2942,0.02065,0.01815,0.000359204,0.000359204,0.000359204
16,608.05,0.68509,0.55441,0.01938,0.0268,0.92566,0.91606,0.96654,0.8515,0.52659,0.30317,0.02085,0.02203,0.000355076,0.000355076,0.000355076
17,645.681,0.69202,0.57462,0.02005,0.02779,0.93878,0.94737,0.97548,0.86494,0.5152,0.2755,0.02041,0.01575,0.000350947,0.000350947,0.000350947
18,683.518,0.68171,0.55737,0.02047,0.02568,0.93953,0.9382,0.97053,0.85391,0.52132,0.30199,0.02164,0.02259,0.000346819,0.000346819,0.000346819
19,720.927,0.67278,0.54963,0.01977,0.02639,0.94934,0.92608,0.97239,0.85591,0.5283,0.27252,0.02032,0.019,0.000342691,0.000342691,0.000342691
20,758.308,0.67508,0.55753,0.02035,0.02483,0.92071,0.93165,0.96573,0.85671,0.50347,0.30168,0.02039,0.01547,0.000338562,0.000338562,0.000338562
21,795.829,0.65867,0.52125,0.01951,0.02375,0.95055,0.944,0.98294,0.86747,0.51638,0.25058,0.02095,0.01787,0.000334434,0.000334434,0.000334434
22,833.781,0.65957,0.52104,0.0199,0.02383,0.94146,0.94705,0.97725,0.86527,0.50859,0.27056,0.02065,0.01355,0.000330306,0.000330306,0.000330306
23,871.196,0.66078,0.51756,0.02059,0.02539,0.947,0.93491,0.96944,0.85631,0.51846,0.26573,0.02116,0.01762,0.000326177,0.000326177,0.000326177
24,908.978,0.66562,0.51905,0.01943,0.02599,0.95791,0.91975,0.97923,0.86715,0.51119,0.26308,0.01967,0.01471,0.000322049,0.000322049,0.000322049
25,946.584,0.64964,0.50053,0.01914,0.02324,0.95631,0.94334,0.97831,0.8653,0.51233,0.26362,0.0197,0.01671,0.000317921,0.000317921,0.000317921
26,983.816,0.65376,0.50813,0.01938,0.02288,0.95612,0.95884,0.98747,0.874,0.51643,0.23608,0.01906,0.02027,0.000313792,0.000313792,0.000313792
27,1022.29,0.64397,0.48056,0.01898,0.02285,0.94307,0.9594,0.97777,0.86605,0.50866,0.26565,0.01883,0.01977,0.000309664,0.000309664,0.000309664
28,1059.72,0.64349,0.49226,0.019,0.02315,0.95622,0.9414,0.97932,0.86794,0.50993,0.25581,0.01969,0.01417,0.000305536,0.000305536,0.000305536
29,1097.44,0.64457,0.48592,0.01918,0.02236,0.9512,0.94617,0.97944,0.86926,0.50642,0.25045,0.01945,0.01472,0.000301408,0.000301408,0.000301408
30,1134.66,0.63021,0.46643,0.0195,0.02263,0.94994,0.95509,0.98066,0.87256,0.49552,0.24888,0.01935,0.01495,0.000297279,0.000297279,0.000297279
31,1172.37,0.63422,0.46337,0.01889,0.0218,0.93959,0.97011,0.98257,0.87069,0.51065,0.24101,0.02018,0.01531,0.000293151,0.000293151,0.000293151
32,1209.75,0.62246,0.46476,0.0195,0.02101,0.95344,0.94989,0.98167,0.87056,0.51419,0.2373,0.01939,0.01766,0.000289023,0.000289023,0.000289023
33,1246.69,0.63131,0.46525,0.01879,0.02322,0.95306,0.95575,0.9835,0.87305,0.51067,0.23268,0.01956,0.01492,0.000284894,0.000284894,0.000284894
34,1283.79,0.62277,0.46136,0.01853,0.02061,0.94822,0.95891,0.98141,0.87423,0.50568,0.24708,0.01939,0.01272,0.000280766,0.000280766,0.000280766
35,1321.94,0.61643,0.4525,0.01852,0.01952,0.96513,0.9659,0.98435,0.87551,0.50441,0.22447,0.0191,0.01423,0.000276638,0.000276638,0.000276638
36,1359.24,0.62014,0.44239,0.01876,0.02042,0.95973,0.96463,0.98234,0.87676,0.49417,0.23158,0.01787,0.0156,0.000272509,0.000272509,0.000272509
37,1396.86,0.62193,0.4538,0.01763,0.02044,0.963,0.95123,0.98211,0.8727,0.50713,0.23667,0.01803,0.01615,0.000268381,0.000268381,0.000268381
38,1434.28,0.6122,0.44525,0.01818,0.01969,0.95706,0.96257,0.98036,0.87256,0.50927,0.23869,0.0195,0.01682,0.000264253,0.000264253,0.000264253
39,1471.51,0.61024,0.43876,0.01848,0.01847,0.96021,0.95933,0.98092,0.87473,0.49986,0.24187,0.01892,0.01301,0.000260125,0.000260125,0.000260125
40,1509.4,0.60873,0.43619,0.01861,0.01995,0.96931,0.95004,0.9809,0.87169,0.50622,0.24609,0.0197,0.01803,0.000255996,0.000255996,0.000255996
41,1546.59,0.60944,0.44752,0.01855,0.02012,0.95084,0.97225,0.98477,0.87786,0.49815,0.21748,0.01884,0.01302,0.000251868,0.000251868,0.000251868
42,1584.11,0.60121,0.42643,0.01798,0.01885,0.95865,0.96852,0.9835,0.87021,0.51227,0.22511,0.01868,0.01213,0.00024774,0.00024774,0.00024774
43,1621.73,0.6007,0.42355,0.01831,0.01858,0.95386,0.97096,0.98467,0.87354,0.51043,0.22548,0.01907,0.01435,0.000243611,0.000243611,0.000243611
44,1659.09,0.59496,0.41651,0.01833,0.01847,0.96805,0.95998,0.9859,0.87328,0.51483,0.22333,0.01842,0.01839,0.000239483,0.000239483,0.000239483
45,1696.77,0.60135,0.42509,0.0181,0.01869,0.96663,0.97087,0.9842,0.87688,0.49534,0.21618,0.01868,0.01295,0.000235355,0.000235355,0.000235355
46,1734.52,0.58596,0.41154,0.01771,0.01847,0.96031,0.97186,0.98668,0.87906,0.49769,0.21571,0.01897,0.01262,0.000231226,0.000231226,0.000231226
47,1771.93,0.59298,0.40945,0.01859,0.01708,0.97151,0.96865,0.9872,0.88063,0.49712,0.21016,0.01931,0.01097,0.000227098,0.000227098,0.000227098
48,1809.74,0.59091,0.41458,0.01843,0.01675,0.97053,0.96671,0.98448,0.8752,0.50077,0.21174,0.01887,0.01198,0.00022297,0.00022297,0.00022297
49,1847.03,0.58859,0.41267,0.01825,0.01793,0.97227,0.9698,0.98609,0.88051,0.49316,0.20848,0.01882,0.01351,0.000218842,0.000218842,0.000218842
50,1883.8,0.58837,0.40844,0.01838,0.01795,0.96176,0.97638,0.98814,0.88164,0.49376,0.21184,0.01867,0.0111,0.000214713,0.000214713,0.000214713
51,1921.62,0.57617,0.40274,0.01831,0.01657,0.96233,0.97162,0.98311,0.87667,0.49938,0.21895,0.01937,0.01183,0.000210585,0.000210585,0.000210585
52,1959.36,0.57787,0.40372,0.01816,0.01667,0.96792,0.97626,0.98741,0.88156,0.49111,0.20802,0.01861,0.0127,0.000206457,0.000206457,0.000206457
53,1997.14,0.57814,0.39545,0.01802,0.01611,0.96617,0.97097,0.98579,0.87789,0.49359,0.21457,0.0189,0.01175,0.000202328,0.000202328,0.000202328
54,2034.65,0.56933,0.39919,0.01808,0.01634,0.96558,0.97018,0.98587,0.8807,0.49748,0.21444,0.01911,0.01191,0.0001982,0.0001982,0.0001982
55,2072.36,0.57051,0.39685,0.01792,0.01554,0.96515,0.97044,0.98754,0.88291,0.48988,0.20966,0.01842,0.01101,0.000194072,0.000194072,0.000194072
56,2110.34,0.57464,0.38414,0.01839,0.0172,0.96849,0.96895,0.98564,0.88058,0.50062,0.21894,0.01858,0.0126,0.000189943,0.000189943,0.000189943
57,2147.88,0.56145,0.38463,0.01769,0.01663,0.96885,0.9757,0.98726,0.88153,0.49533,0.20247,0.01812,0.01329,0.000185815,0.000185815,0.000185815
58,2185.32,0.56087,0.38303,0.01837,0.01525,0.98039,0.97182,0.98581,0.87932,0.49085,0.1984,0.01837,0.01159,0.000181687,0.000181687,0.000181687
59,2222.28,0.55108,0.37297,0.01794,0.01465,0.97811,0.96145,0.97993,0.87605,0.48973,0.21401,0.01814,0.01101,0.000177559,0.000177559,0.000177559
60,2259.75,0.55467,0.37688,0.01794,0.01475,0.97358,0.9678,0.98469,0.87927,0.49345,0.21882,0.01866,0.01109,0.00017343,0.00017343,0.00017343
