epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,53.874,0.85872,5.90894,0.02267,0.04371,0.08944,0.28121,0.0368,0.03229,0.58158,2.9522,0.02414,0.01906,0.000137567,0.000137567,0.000137567
2,82.5546,0.79413,4.46858,0.02194,0.0387,0.08733,0.2263,0.09259,0.08051,0.58247,2.34081,0.02245,0.02103,0.000273829,0.000273829,0.000273829
3,111.144,0.78294,3.61636,0.02156,0.03368,0.27368,0.3938,0.30618,0.26239,0.59075,1.65615,0.02334,0.01949,0.000407339,0.000407339,0.000407339
4,138.56,0.79554,2.72181,0.0218,0.03695,0.48075,0.57799,0.55004,0.47475,0.58122,1.22569,0.02198,0.02234,0.000404615,0.000404615,0.000404615
5,167.367,0.7755,2.16841,0.02068,0.03334,0.59833,0.63639,0.67774,0.58981,0.55916,0.98611,0.02176,0.02383,0.000400487,0.000400487,0.000400487
6,195.029,0.75485,1.76284,0.02041,0.03098,0.69921,0.72608,0.7799,0.67501,0.56543,0.74785,0.02255,0.02248,0.000396358,0.000396358,0.000396358
7,223.47,0.75795,1.53213,0.0218,0.03144,0.80775,0.74428,0.82759,0.72117,0.55837,0.66429,0.02214,0.01766,0.00039223,0.00039223,0.00039223
8,250.856,0.75473,1.35148,0.02061,0.02953,0.81836,0.80039,0.85782,0.74927,0.54899,0.57721,0.02214,0.02162,0.000388102,0.000388102,0.000388102
9,278.741,0.73999,1.20668,0.02096,0.02815,0.80722,0.82925,0.89087,0.77625,0.54672,0.52264,0.02139,0.01689,0.000383974,0.000383974,0.000383974
10,305.753,0.74283,1.08785,0.02002,0.0298,0.85272,0.85005,0.92083,0.8007,0.55123,0.47405,0.02142,0.01731,0.000379845,0.000379845,0.000379845
11,333.817,0.7366,1.03699,0.0205,0.02834,0.86308,0.84276,0.92293,0.80629,0.55072,0.47295,0.02138,0.01805,0.000375717,0.000375717,0.000375717
12,361.424,0.72505,0.94071,0.02052,0.02789,0.87296,0.85207,0.92406,0.80543,0.54037,0.45011,0.02187,0.01619,0.000371589,0.000371589,0.000371589
13,389.611,0.72174,0.90603,0.02063,0.02798,0.8814,0.87192,0.93679,0.82015,0.54128,0.41034,0.02133,0.02189,0.00036746,0.00036746,0.00036746
14,416.868,0.72554,0.85972,0.01996,0.02656,0.88186,0.88582,0.9502,0.83098,0.54198,0.39614,0.02169,0.01642,0.000363332,0.000363332,0.000363332
15,445.48,0.72103,0.83267,0.02009,0.02849,0.89633,0.87325,0.9373,0.82398,0.53069,0.4179,0.02065,0.01552,0.000359204,0.000359204,0.000359204
16,472.369,0.70894,0.81008,0.02028,0.02516,0.89245,0.90373,0.95188,0.83333,0.53923,0.38498,0.02135,0.01606,0.000355076,0.000355076,0.000355076
17,501.072,0.7106,0.7881,0.01993,0.02633,0.90759,0.89125,0.95553,0.84075,0.535,0.35987,0.02066,0.01508,0.000350947,0.000350947,0.000350947
18,528.759,0.69714,0.74506,0.0201,0.02496,0.91355,0.90007,0.95563,0.83711,0.53263,0.35387,0.02112,0.01727,0.000346819,0.000346819,0.000346819
19,557.186,0.69745,0.73352,0.01984,0.02572,0.90028,0.91444,0.95409,0.83993,0.52772,0.34394,0.02078,0.01461,0.000342691,0.000342691,0.000342691
20,584.912,0.68852,0.72131,0.02056,0.02411,0.91951,0.9106,0.95939,0.84689,0.52048,0.34959,0.02035,0.01497,0.000338562,0.000338562,0.000338562
21,613.216,0.68247,0.70646,0.0197,0.02383,0.93458,0.89352,0.95854,0.84424,0.52777,0.33617,0.0208,0.01471,0.000334434,0.000334434,0.000334434
22,640.913,0.68884,0.708,0.01977,0.02308,0.92269,0.91206,0.96028,0.84617,0.52672,0.33404,0.02032,0.01717,0.000330306,0.000330306,0.000330306
23,669.058,0.68527,0.6773,0.01973,0.02349,0.92869,0.90833,0.95836,0.8408,0.52851,0.33507,0.02079,0.01811,0.000326177,0.000326177,0.000326177
24,696.667,0.68704,0.68302,0.02005,0.02387,0.93476,0.91692,0.96716,0.85417,0.52016,0.32014,0.02057,0.01345,0.000322049,0.000322049,0.000322049
25,724.847,0.67602,0.66142,0.01949,0.02283,0.91791,0.92307,0.9581,0.84812,0.51441,0.33391,0.02052,0.01297,0.000317921,0.000317921,0.000317921
26,752.606,0.67347,0.65574,0.01957,0.02251,0.93635,0.92108,0.95985,0.85161,0.50752,0.31226,0.02049,0.01208,0.000313792,0.000313792,0.000313792
27,780.543,0.68017,0.66483,0.01994,0.02352,0.94608,0.92614,0.95803,0.84786,0.51302,0.31774,0.02053,0.01221,0.000309664,0.000309664,0.000309664
28,808.336,0.66858,0.61739,0.01889,0.02355,0.93899,0.92186,0.96107,0.84964,0.51817,0.30961,0.02087,0.01257,0.000305536,0.000305536,0.000305536
29,836.428,0.67494,0.63361,0.01961,0.02196,0.94438,0.92308,0.96338,0.8529,0.51727,0.3073,0.02038,0.01329,0.000301408,0.000301408,0.000301408
30,864.313,0.6604,0.61246,0.01975,0.02249,0.94656,0.93357,0.97205,0.85688,0.51666,0.29995,0.02113,0.01577,0.000297279,0.000297279,0.000297279
31,892.562,0.66279,0.60161,0.01948,0.02294,0.93536,0.94272,0.96831,0.85476,0.51324,0.29594,0.02104,0.01358,0.000293151,0.000293151,0.000293151
32,920.719,0.65942,0.61439,0.01989,0.02068,0.93315,0.93003,0.96455,0.85198,0.51406,0.30521,0.02068,0.01265,0.000289023,0.000289023,0.000289023
33,948.785,0.66132,0.57651,0.01928,0.02175,0.95752,0.91693,0.96871,0.85978,0.50601,0.29546,0.02054,0.01177,0.000284894,0.000284894,0.000284894
34,976.958,0.67383,0.6022,0.0198,0.02004,0.94488,0.93799,0.97275,0.8612,0.50935,0.28283,0.02087,0.01164,0.000280766,0.000280766,0.000280766
35,1004.87,0.64683,0.58841,0.01976,0.02009,0.93934,0.93471,0.96127,0.84872,0.51285,0.30423,0.0212,0.01417,0.000276638,0.000276638,0.000276638
