epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5948,0.94987,4.50449,0.02487,0.05844,0.03789,0.40963,0.03837,0.03359,0.61756,2.73943,0.02753,0.02343,0.00013828,0.00013828,0.00013828
2,69.1344,0.85221,3.57006,0.02415,0.04922,0.1019,0.23598,0.10473,0.09033,0.60812,2.19935,0.02436,0.02425,0.000274535,0.000274535,0.000274535
3,91.8832,0.85753,2.90198,0.02276,0.0454,0.28057,0.41015,0.25574,0.21832,0.59802,1.72796,0.02349,0.01996,0.000408037,0.000408037,0.000408037
4,114.55,0.84976,2.33206,0.02199,0.04601,0.50377,0.52039,0.48027,0.41089,0.59864,1.30595,0.02263,0.02338,0.000404615,0.000404615,0.000404615
5,137.349,0.82137,1.90108,0.02056,0.03955,0.59316,0.65759,0.65454,0.56284,0.58436,1.01416,0.02175,0.02057,0.000400487,0.000400487,0.000400487
6,160.217,0.81925,1.67037,0.02093,0.03877,0.69905,0.70978,0.74589,0.64386,0.5852,0.84322,0.02192,0.0222,0.000396358,0.000396358,0.000396358
7,182.854,0.81714,1.50507,0.02131,0.04023,0.75086,0.73991,0.8019,0.69446,0.57798,0.76182,0.02099,0.01938,0.00039223,0.00039223,0.00039223
8,205.966,0.79778,1.34798,0.02085,0.03788,0.73459,0.75139,0.83777,0.72744,0.56697,0.65954,0.02056,0.01839,0.000388102,0.000388102,0.000388102
9,228.666,0.81161,1.24557,0.02096,0.03919,0.77655,0.78228,0.84752,0.73211,0.57728,0.62726,0.02139,0.02452,0.000383974,0.000383974,0.000383974
10,251.402,0.79888,1.16717,0.02013,0.03864,0.86562,0.79337,0.89454,0.7764,0.56797,0.52589,0.02083,0.0188,0.000379845,0.000379845,0.000379845
11,274.96,0.78877,1.11537,0.0212,0.03519,0.8604,0.82542,0.91363,0.79326,0.5649,0.50044,0.02069,0.01973,0.000375717,0.000375717,0.000375717
12,298.803,0.78542,1.03383,0.02048,0.0362,0.87129,0.83993,0.91937,0.80123,0.5582,0.47429,0.02044,0.01602,0.000371589,0.000371589,0.000371589
13,322.044,0.77879,0.99086,0.02058,0.03511,0.86071,0.85917,0.9291,0.80824,0.56205,0.44334,0.02114,0.01952,0.00036746,0.00036746,0.00036746
14,344.79,0.78627,0.9564,0.02071,0.03481,0.87503,0.8546,0.93707,0.81723,0.55,0.42252,0.02071,0.01949,0.000363332,0.000363332,0.000363332
15,368.245,0.76219,0.91696,0.0204,0.03426,0.89381,0.87916,0.94399,0.82002,0.55637,0.41407,0.02108,0.01964,0.000359204,0.000359204,0.000359204
16,389.848,0.76281,0.88958,0.02045,0.03224,0.90177,0.85278,0.93418,0.81609,0.5486,0.42745,0.02058,0.01484,0.000355076,0.000355076,0.000355076
17,411.68,0.76386,0.8867,0.02071,0.03335,0.89616,0.86356,0.93781,0.82037,0.5409,0.41036,0.02108,0.01713,0.000350947,0.000350947,0.000350947
18,434.065,0.74302,0.8413,0.02048,0.03032,0.90931,0.87445,0.94913,0.82739,0.54645,0.38385,0.02047,0.01601,0.000346819,0.000346819,0.000346819
19,456.476,0.74788,0.8058,0.0202,0.03116,0.91506,0.86763,0.94621,0.82577,0.53998,0.39023,0.02022,0.01654,0.000342691,0.000342691,0.000342691
20,478.927,0.75428,0.81898,0.02079,0.03121,0.91823,0.8687,0.94445,0.82357,0.54464,0.38289,0.02059,0.01786,0.000338562,0.000338562,0.000338562
21,501.213,0.74152,0.7741,0.01995,0.02946,0.91973,0.9005,0.95284,0.83113,0.54217,0.35415,0.0204,0.01533,0.000334434,0.000334434,0.000334434
22,524.265,0.73739,0.76845,0.0203,0.02881,0.93146,0.9099,0.96199,0.8379,0.53968,0.34416,0.02073,0.01483,0.000330306,0.000330306,0.000330306
23,547.501,0.73545,0.74778,0.02029,0.02975,0.92528,0.90487,0.95993,0.83913,0.54051,0.33919,0.02056,0.01551,0.000326177,0.000326177,0.000326177
24,572.265,0.73506,0.74154,0.01991,0.03062,0.9339,0.91447,0.95965,0.84185,0.53949,0.33958,0.02033,0.01494,0.000322049,0.000322049,0.000322049
25,595.161,0.72794,0.72327,0.01982,0.02939,0.91452,0.92276,0.96267,0.8389,0.55014,0.32946,0.02047,0.01479,0.000317921,0.000317921,0.000317921
26,619.642,0.73058,0.7371,0.02001,0.02773,0.92508,0.91267,0.96282,0.84248,0.53711,0.32516,0.02058,0.01464,0.000313792,0.000313792,0.000313792
27,641.316,0.72264,0.7047,0.02015,0.02718,0.93444,0.91416,0.96472,0.8467,0.5365,0.32501,0.0206,0.01505,0.000309664,0.000309664,0.000309664
28,664.007,0.72064,0.71045,0.02001,0.02873,0.91982,0.91489,0.95807,0.83975,0.53665,0.33806,0.0204,0.01496,0.000305536,0.000305536,0.000305536
29,686.103,0.71977,0.69764,0.0198,0.0264,0.92428,0.9107,0.95637,0.83632,0.54098,0.33819,0.02068,0.01445,0.000301408,0.000301408,0.000301408
30,708.769,0.71786,0.67913,0.01985,0.02774,0.93996,0.91879,0.95703,0.84075,0.53404,0.33848,0.01984,0.0156,0.000297279,0.000297279,0.000297279
