epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1112,0.77552,3.27786,0.02197,0.03373,0.51897,0.58367,0.60632,0.52242,0.58452,1.07677,0.0223,0.02289,0.00013828,0.00013828,0.00013828
2,155.366,0.7919,1.49734,0.02086,0.04217,0.71609,0.75588,0.80486,0.69048,0.60024,0.79546,0.02227,0.02596,0.000274535,0.000274535,0.000274535
3,224.366,0.81989,1.17811,0.021,0.04576,0.7677,0.78204,0.85955,0.7228,0.64569,0.66747,0.0223,0.04971,0.000408037,0.000408037,0.000408037
4,294.038,0.81847,0.99013,0.02149,0.0431,0.85515,0.84811,0.91694,0.7907,0.58594,0.45885,0.02197,0.02402,0.000404615,0.000404615,0.000404615
5,363.275,0.78603,0.88977,0.02067,0.03791,0.83544,0.82337,0.91244,0.78612,0.58958,0.53468,0.02204,0.04068,0.000400487,0.000400487,0.000400487
6,431.459,0.77712,0.84841,0.0204,0.04179,0.8731,0.81638,0.90223,0.78048,0.58103,0.52275,0.02247,0.02482,0.000396358,0.000396358,0.000396358
7,499.893,0.75833,0.78739,0.02098,0.03489,0.88973,0.83993,0.93166,0.80972,0.57088,0.44115,0.02174,0.02862,0.00039223,0.00039223,0.00039223
8,569.098,0.74077,0.73865,0.02073,0.03317,0.88768,0.89926,0.95445,0.82795,0.55963,0.35692,0.02196,0.03028,0.000388102,0.000388102,0.000388102
9,638.25,0.75257,0.71604,0.02013,0.03452,0.87183,0.85397,0.91959,0.80405,0.54972,0.44135,0.02027,0.01993,0.000383974,0.000383974,0.000383974
10,706.885,0.7411,0.67541,0.01927,0.03858,0.9321,0.92103,0.9744,0.84624,0.56965,0.31039,0.021,0.03516,0.000379845,0.000379845,0.000379845
11,775.981,0.73032,0.65275,0.02042,0.03334,0.92973,0.94173,0.97693,0.8546,0.54644,0.29702,0.02081,0.02595,0.000375717,0.000375717,0.000375717
12,845.359,0.72223,0.64182,0.02023,0.02936,0.91279,0.9515,0.97665,0.85441,0.53329,0.2968,0.02117,0.01762,0.000371589,0.000371589,0.000371589
13,914.133,0.70779,0.60038,0.01986,0.02918,0.92592,0.90051,0.96964,0.8536,0.52908,0.33425,0.0205,0.02061,0.00036746,0.00036746,0.00036746
14,982.691,0.71965,0.60639,0.01917,0.0308,0.94442,0.9407,0.97852,0.85727,0.53221,0.28183,0.01945,0.02354,0.000363332,0.000363332,0.000363332
15,1051.96,0.69124,0.57174,0.01848,0.02622,0.94758,0.93496,0.98133,0.86376,0.52269,0.26249,0.01924,0.02048,0.000359204,0.000359204,0.000359204
16,1121.41,0.68732,0.55136,0.01834,0.02682,0.95273,0.94889,0.98217,0.86374,0.53172,0.2549,0.01882,0.01849,0.000355076,0.000355076,0.000355076
17,1190.01,0.69714,0.56606,0.01942,0.02576,0.94709,0.94807,0.97661,0.85547,0.55154,0.27778,0.02147,0.01768,0.000350947,0.000350947,0.000350947
18,1258.37,0.6815,0.53914,0.01949,0.02587,0.94698,0.95058,0.9807,0.86182,0.5229,0.26079,0.01976,0.02558,0.000346819,0.000346819,0.000346819
19,1326.93,0.67167,0.52591,0.01893,0.02661,0.95257,0.95219,0.98317,0.86526,0.52468,0.24263,0.02068,0.01879,0.000342691,0.000342691,0.000342691
20,1396.2,0.67794,0.54101,0.01941,0.02618,0.96029,0.96082,0.98402,0.86659,0.52325,0.23673,0.0198,0.02246,0.000338562,0.000338562,0.000338562
21,1465.34,0.66436,0.51715,0.01841,0.02597,0.96853,0.94215,0.97661,0.86554,0.51093,0.24343,0.0203,0.01997,0.000334434,0.000334434,0.000334434
22,1533.88,0.66289,0.51405,0.01945,0.02366,0.94841,0.948,0.9779,0.86138,0.51635,0.24621,0.02025,0.01417,0.000330306,0.000330306,0.000330306
23,1602.02,0.66179,0.52725,0.01891,0.02373,0.97132,0.94901,0.98436,0.87193,0.50718,0.22901,0.01926,0.01875,0.000326177,0.000326177,0.000326177
24,1671.16,0.66164,0.50441,0.01893,0.02353,0.95436,0.9596,0.98421,0.8681,0.50915,0.23527,0.02016,0.01816,0.000322049,0.000322049,0.000322049
25,1739.3,0.65466,0.49915,0.0187,0.02537,0.95722,0.96419,0.98392,0.86817,0.51915,0.23759,0.019,0.01796,0.000317921,0.000317921,0.000317921
26,1807.56,0.6547,0.50426,0.01908,0.02488,0.97677,0.94766,0.98481,0.87288,0.50625,0.22387,0.02018,0.01467,0.000313792,0.000313792,0.000313792
27,1876.67,0.64362,0.47848,0.01866,0.02252,0.96387,0.95771,0.98725,0.87257,0.50682,0.21436,0.01851,0.01687,0.000309664,0.000309664,0.000309664
28,1945.26,0.63849,0.47575,0.01822,0.02332,0.97463,0.95727,0.98319,0.87068,0.5114,0.22187,0.01858,0.01766,0.000305536,0.000305536,0.000305536
29,2013.79,0.64015,0.4821,0.01825,0.02126,0.96858,0.96672,0.98524,0.87124,0.50564,0.21751,0.01867,0.01778,0.000301408,0.000301408,0.000301408
30,2082.39,0.635,0.46627,0.01834,0.02229,0.96461,0.96162,0.98276,0.86964,0.50397,0.22443,0.019,0.01853,0.000297279,0.000297279,0.000297279
31,2150.93,0.63844,0.45876,0.01821,0.02106,0.97477,0.96644,0.98805,0.87814,0.50442,0.20627,0.01877,0.01454,0.000293151,0.000293151,0.000293151
32,2220.55,0.61858,0.44983,0.01799,0.01969,0.95626,0.95454,0.98252,0.87347,0.50248,0.2436,0.01845,0.01343,0.000289023,0.000289023,0.000289023
33,2289.28,0.63447,0.4638,0.01754,0.02087,0.9672,0.94668,0.9788,0.86065,0.52854,0.24405,0.01719,0.01743,0.000284894,0.000284894,0.000284894
34,2357.39,0.6267,0.4639,0.01721,0.02263,0.96561,0.95027,0.96807,0.86228,0.49679,0.23873,0.01726,0.0153,0.000280766,0.000280766,0.000280766
35,2425.61,0.61742,0.4504,0.01747,0.01939,0.97144,0.96305,0.98701,0.87286,0.50931,0.215,0.01731,0.01588,0.000276638,0.000276638,0.000276638
36,2493.9,0.62148,0.43942,0.01763,0.02194,0.95389,0.97215,0.98644,0.87741,0.49845,0.22937,0.01673,0.01833,0.000272509,0.000272509,0.000272509
37,2562.35,0.61369,0.4565,0.01698,0.02001,0.96605,0.96625,0.98406,0.8756,0.49998,0.22169,0.01765,0.01393,0.000268381,0.000268381,0.000268381
38,2630.94,0.60941,0.44046,0.01772,0.01794,0.9642,0.97614,0.98427,0.877,0.49885,0.21926,0.018,0.01431,0.000264253,0.000264253,0.000264253
39,2699.45,0.61058,0.43678,0.01726,0.01936,0.96734,0.96436,0.9858,0.8771,0.50582,0.21324,0.01685,0.01477,0.000260125,0.000260125,0.000260125
40,2767.92,0.60437,0.42545,0.01726,0.0182,0.979,0.96771,0.98583,0.8743,0.50898,0.19656,0.01727,0.01254,0.000255996,0.000255996,0.000255996
41,2836.45,0.60705,0.43942,0.01757,0.02012,0.97766,0.95624,0.98417,0.87065,0.51305,0.21662,0.017,0.01677,0.000251868,0.000251868,0.000251868
